"COUNTRY" "NUTS_ID" "YEAR" "CASES" "AVG_2003_2010" "STD_ANOMALY" "WNV_before"
"Hungary" "HU312" 2014 0 16.0036039756854 0.205719498022407 "1"
"Hungary" "HU312" 2015 0 16.0036039756854 -0.275303591411661 "0"
"Hungary" "HU312" 2016 1 16.0036039756854 -0.119455822749404 "0"
"Hungary" "HU312" 2017 1 16.0036039756854 -0.964465979585091 "1"
"Hungary" "HU312" 2018 4 16.0036039756854 1.93774886158397 "1"
"Hungary" "HU312" 2019 0 16.0036039756854 -0.122240166426004 "1"
"Hungary" "HU313" 2012 1 15.0820046391236 0.874251215304032 "NR"
"Hungary" "HU313" 2013 0 15.0820046391236 0.0792230017316843 "1"
"Hungary" "HU313" 2014 0 15.0820046391236 -0.139047692283817 "0"
"Hungary" "HU313" 2015 0 15.0820046391236 -0.26584216311732 "0"
"Hungary" "HU313" 2016 0 15.0820046391236 -0.138958420612669 "0"
"Hungary" "HU313" 2017 0 15.0820046391236 -0.942983820198254 "0"
"Hungary" "HU313" 2018 1 15.0820046391236 2.22763650486439 "0"
"Hungary" "HU313" 2019 0 15.0820046391236 0.0348981697258061 "1"
